subplot_id,species_id,first_year,first_census,current_year,current_census,count
S1760_1N,PTR,2005,3,2005,3,1
S1760_1N,PTR,2005,3,2005,4,1
S1760_1N,PTR,2004,3,2004,3,2
S1760_1N,PTR,2004,3,2004,4,2
S1760_1N,PTR,2002,2,2002,2,2
S1760_1N,PTR,2002,2,2002,3,1
S1760_1N,PTR,2002,2,2002,4,0
S1760_1N,PTR,2001,2,2001,2,2
S1760_1N,PTR,2001,2,2001,3,1
S1760_1N,PTR,2001,2,2001,4,1
S1760_1N,PTR,2001,4,2001,4,1
S1760_1N,ABA,2003,3,2003,3,2
S1760_1N,ABA,2003,3,2003,4,2
S1760_1N,PGL,2003,3,2003,3,7
S1760_1N,PGL,2003,3,2003,4,1
S1760_1N,TOC,2003,3,2003,3,977
S1760_1N,TOC,2003,4,2003,4,123
S1760_1S,BPA,2001,2,2001,2,1
S1760_1S,BPA,2001,2,2001,3,0
S1760_1S,BPA,2001,3,2001,3,2
S1760_1S,BPA,2001,3,2001,4,1
S1760_1S,BPA,2001,4,2001,4,1
S1760_1S,PTR,2006,2,2006,2,3
S1760_1S,PTR,2006,2,2006,3,0
S1760_1S,PTR,2006,3,2006,3,2
S1760_1S,PTR,2006,3,2006,4,0
S1760_1S,PTR,2005,2,2005,2,3
S1760_1S,PTR,2005,2,2005,3,3
S1760_1S,PTR,2005,2,2005,4,2
S1760_1S,PTR,2005,3,2005,3,1
S1760_1S,PTR,2005,3,2005,4,1
S1760_1S,PTR,2004,2,2004,2,1
S1760_1S,PTR,2004,3,2004,3,6
S1760_1S,PTR,2004,3,2004,4,6
S1760_1S,PTR,2002,2,2002,2,2
S1760_1S,PTR,2002,2,2002,3,1
S1760_1S,PTR,2002,2,2002,4,0
S1760_1S,PTR,2001,2,2001,2,2
S1760_1S,PTR,2001,2,2001,3,2
S1760_1S,PTR,2001,2,2001,4,1
S1760_1S,PTR,2001,3,2001,3,2
S1760_1S,PTR,2001,3,2001,4,0
S1760_1S,ABA,2004,2,2004,2,1
S1760_1S,ABA,2003,2,2003,2,1
S1760_1S,ABA,2003,2,2003,3,1
S1760_1S,ABA,2003,2,2003,4,1
S1760_1S,ABA,2003,3,2003,3,1
S1760_1S,ABA,2003,3,2003,4,1
S1760_1S,ABA,2003,4,2003,4,1
S1760_1S,PGL,2003,2,2003,2,13
S1760_1S,PGL,2003,2,2003,3,6
S1760_1S,PGL,2003,2,2003,4,5
S1760_1S,PGL,2003,3,2003,3,2
S1760_1S,PGL,2003,3,2003,4,2
S1760_1S,TOC,2004,3,2004,3,1
S1760_1S,TOC,2004,3,2004,4,1
S1760_1S,TOC,2004,4,2004,4,2
S1760_1S,TOC,2003,2,2003,2,15
S1760_1S,TOC,2003,2,2003,3,4
S1760_1S,TOC,2003,2,2003,4,4
S1760_1S,TOC,2003,3,2003,3,131
S1760_1S,TOC,2003,4,2003,4,70
S1760_1S,TOC,2001,2,2001,2,3
S1760_1S,TOC,2001,2,2001,3,3
S1760_1S,TOC,2001,2,2001,4,2
S1760_1S,TOC,2001,4,2001,4,1
S1760_2N,ABA,2003,3,2003,3,2
S1760_2N,ABA,2003,3,2003,4,1
S1760_2N,PGL,2004,2,2004,2,2
S1760_2N,PGL,2003,2,2003,2,1
S1760_2N,PGL,2003,2,2003,3,1
S1760_2N,PGL,2003,2,2003,4,1
S1760_2N,PGL,2003,3,2003,3,7
S1760_2N,PGL,2003,3,2003,4,0
S1760_2N,TOC,2004,2,2004,2,2
S1760_2N,TOC,2004,2,2004,3,2
S1760_2N,TOC,2004,2,2004,4,2
S1760_2N,TOC,2003,2,2003,2,20
S1760_2N,TOC,2003,2,2003,3,20
S1760_2N,TOC,2003,2,2003,4,8
S1760_2N,TOC,2003,3,2003,3,866
S1760_2N,TOC,2003,4,2003,4,86
S1760_2S,BPA,2005,2,2005,2,59
S1760_2S,BPA,2005,2,2005,3,0
